id_city,city,lat,lon,place_id,timestamp,feels_like,humidity,rain,date,feels_like_mean,rain_mean
11,Eguisheim,48.0447968,7.3079618,110808217.0,1736420400,7.01,81,15.26,2025-01-09,2.995714285714286,7.594285714285715
11,Eguisheim,48.0447968,7.3079618,110808217.0,1736506800,4.03,65,0.0,2025-01-10,2.995714285714286,7.594285714285715
11,Eguisheim,48.0447968,7.3079618,110808217.0,1736593200,-0.68,75,0.0,2025-01-11,2.995714285714286,7.594285714285715
11,Eguisheim,48.0447968,7.3079618,110808217.0,1736679600,-2.13,83,0.0,2025-01-12,2.995714285714286,7.594285714285715
12,Besancon,47.2380222,6.0243622,83816623.0,1736161200,11.21,61,9.22,2025-01-06,3.7685714285714282,4.452857142857143
12,Besancon,47.2380222,6.0243622,83816623.0,1736247600,0.43,87,5.21,2025-01-07,3.7685714285714282,4.452857142857143
12,Besancon,47.2380222,6.0243622,83816623.0,1736334000,9.54,86,5.39,2025-01-08,3.7685714285714282,4.452857142857143
12,Besancon,47.2380222,6.0243622,83816623.0,1736420400,9.89,76,11.35,2025-01-09,3.7685714285714282,4.452857142857143
12,Besancon,47.2380222,6.0243622,83816623.0,1736506800,-0.2,89,0.0,2025-01-10,3.7685714285714282,4.452857142857143
12,Besancon,47.2380222,6.0243622,83816623.0,1736593200,-1.7,78,0.0,2025-01-11,3.7685714285714282,4.452857142857143
12,Besancon,47.2380222,6.0243622,83816623.0,1736679600,-2.79,87,0.0,2025-01-12,3.7685714285714282,4.452857142857143
13,Dijon,47.3215806,5.0414701,85821227.0,1736161200,10.78,82,4.24,2025-01-06,4.558571428571429,3.1660714285714286
13,Dijon,47.3215806,5.0414701,85821227.0,1736247600,1.4,76,3.81,2025-01-07,4.558571428571429,3.1660714285714286
13,Dijon,47.3215806,5.0414701,85821227.0,1736334000,11.13,90,9.51,2025-01-08,4.558571428571429,3.1660714285714286
13,Dijon,47.3215806,5.0414701,85821227.0,1736420400,10.47,78,4.49,2025-01-09,4.558571428571429,3.1660714285714286
13,Dijon,47.3215806,5.0414701,85821227.0,1736506800,2.97,77,0.0,2025-01-10,4.558571428571429,3.1660714285714286
13,Dijon,47.3215806,5.0414701,85821227.0,1736593200,-1.61,73,0.0,2025-01-11,4.558571428571429,3.1660714285714286
13,Dijon,47.3215806,5.0414701,85821227.0,1736679600,-3.23,85,0.11249999999999999,2025-01-12,4.558571428571429,3.1660714285714286
14,Annecy,45.8992348,6.1288847,81260421.0,1736161200,6.4,83,20.33,2025-01-06,2.617142857142857,11.394285714285713
14,Annecy,45.8992348,6.1288847,81260421.0,1736247600,4.07,78,1.11,2025-01-07,2.617142857142857,11.394285714285713
14,Annecy,45.8992348,6.1288847,81260421.0,1736334000,4.93,98,15.04,2025-01-08,2.617142857142857,11.394285714285713
14,Annecy,45.8992348,6.1288847,81260421.0,1736420400,6.03,95,43.28,2025-01-09,2.617142857142857,11.394285714285713
14,Annecy,45.8992348,6.1288847,81260421.0,1736506800,-0.35,64,0.0,2025-01-10,2.617142857142857,11.394285714285713
14,Annecy,45.8992348,6.1288847,81260421.0,1736593200,-0.03,59,0.0,2025-01-11,2.617142857142857,11.394285714285713
14,Annecy,45.8992348,6.1288847,81260421.0,1736679600,-2.73,59,0.0,2025-01-12,2.617142857142857,11.394285714285713
15,Grenoble,45.1875602,5.7357819,81069851.0,1736161200,11.08,80,13.93,2025-01-06,4.931428571428571,6.569999999999999
15,Grenoble,45.1875602,5.7357819,81069851.0,1736247600,7.58,83,0.52,2025-01-07,4.931428571428571,6.569999999999999
15,Grenoble,45.1875602,5.7357819,81069851.0,1736334000,7.19,99,9.05,2025-01-08,4.931428571428571,6.569999999999999
15,Grenoble,45.1875602,5.7357819,81069851.0,1736420400,11.19,85,22.49,2025-01-09,4.931428571428571,6.569999999999999
15,Grenoble,45.1875602,5.7357819,81069851.0,1736506800,-0.72,78,0.0,2025-01-10,4.931428571428571,6.569999999999999
15,Grenoble,45.1875602,5.7357819,81069851.0,1736593200,0.8,72,0.0,2025-01-11,4.931428571428571,6.569999999999999
15,Grenoble,45.1875602,5.7357819,81069851.0,1736679600,-2.6,75,0.0,2025-01-12,4.931428571428571,6.569999999999999
16,Lyon,45.7578137,4.8320114,81626583.0,1736161200,11.35,73,10.96,2025-01-06,5.508571428571429,2.835142857142857
16,Lyon,45.7578137,4.8320114,81626583.0,1736247600,6.67,63,0.0,2025-01-07,5.508571428571429,2.835142857142857
16,Lyon,45.7578137,4.8320114,81626583.0,1736334000,9.97,75,0.306,2025-01-08,5.508571428571429,2.835142857142857
16,Lyon,45.7578137,4.8320114,81626583.0,1736420400,11.48,71,8.58,2025-01-09,5.508571428571429,2.835142857142857
16,Lyon,45.7578137,4.8320114,81626583.0,1736506800,-0.21,70,0.0,2025-01-10,5.508571428571429,2.835142857142857
16,Lyon,45.7578137,4.8320114,81626583.0,1736593200,0.46,54,0.0,2025-01-11,5.508571428571429,2.835142857142857
16,Lyon,45.7578137,4.8320114,81626583.0,1736679600,-1.16,48,0.0,2025-01-12,5.508571428571429,2.835142857142857
17,Gorges du Verdon,43.7496562,6.3285616,73777570.0,1736161200,3.93,90,10.04,2025-01-06,2.5942857142857143,2.0416
17,Gorges du Verdon,43.7496562,6.3285616,73777570.0,1736247600,-0.37,71,2.37,2025-01-07,2.5942857142857143,2.0416
17,Gorges du Verdon,43.7496562,6.3285616,73777570.0,1736334000,7.3,70,0.0,2025-01-08,2.5942857142857143,2.0416
17,Gorges du Verdon,43.7496562,6.3285616,73777570.0,1736420400,5.81,76,1.8032000000000001,2025-01-09,2.5942857142857143,2.0416
17,Gorges du Verdon,43.7496562,6.3285616,73777570.0,1736506800,0.14,33,0.078,2025-01-10,2.5942857142857143,2.0416
17,Gorges du Verdon,43.7496562,6.3285616,73777570.0,1736593200,3.21,62,0.0,2025-01-11,2.5942857142857143,2.0416
17,Gorges du Verdon,43.7496562,6.3285616,73777570.0,1736679600,-1.86,75,0.0,2025-01-12,2.5942857142857143,2.0416
18,Bormes les Mimosas,43.1506968,6.3419285,74688892.0,1736161200,12.65,83,7.97,2025-01-06,8.952857142857143,1.2508
18,Bormes les Mimosas,43.1506968,6.3419285,74688892.0,1736247600,9.43,50,0.68,2025-01-07,8.952857142857143,1.2508
18,Bormes les Mimosas,43.1506968,6.3419285,74688892.0,1736334000,12.26,61,0.0,2025-01-08,8.952857142857143,1.2508
18,Bormes les Mimosas,43.1506968,6.3419285,74688892.0,1736420400,12.75,65,0.048,2025-01-09,8.952857142857143,1.2508
18,Bormes les Mimosas,43.1506968,6.3419285,74688892.0,1736506800,3.95,35,0.0,2025-01-10,8.952857142857143,1.2508
18,Bormes les Mimosas,43.1506968,6.3419285,74688892.0,1736593200,8.54,53,0.0276,2025-01-11,8.952857142857143,1.2508
18,Bormes les Mimosas,43.1506968,6.3419285,74688892.0,1736679600,3.09,48,0.03,2025-01-12,8.952857142857143,1.2508
19,Cassis,43.2140359,5.5396318,75496110.0,1736161200,12.74,85,6.49,2025-01-06,7.827142857142857,0.9712142857142858
19,Cassis,43.2140359,5.5396318,75496110.0,1736247600,8.75,62,0.0,2025-01-07,7.827142857142857,0.9712142857142858
19,Cassis,43.2140359,5.5396318,75496110.0,1736334000,11.62,58,0.0,2025-01-08,7.827142857142857,0.9712142857142858
19,Cassis,43.2140359,5.5396318,75496110.0,1736420400,11.81,73,0.11200000000000002,2025-01-09,7.827142857142857,0.9712142857142858
19,Cassis,43.2140359,5.5396318,75496110.0,1736506800,-0.22,55,0.048,2025-01-10,7.827142857142857,0.9712142857142858
19,Cassis,43.2140359,5.5396318,75496110.0,1736593200,7.75,28,0.0,2025-01-11,7.827142857142857,0.9712142857142858
19,Cassis,43.2140359,5.5396318,75496110.0,1736679600,2.34,60,0.1485,2025-01-12,7.827142857142857,0.9712142857142858
20,Marseille,43.2961743,5.3699525,75345615.0,1736161200,13.74,84,5.78,2025-01-06,8.191428571428572,0.8552857142857143
